filepath,inferred_plane,gemini_blocked
archive_v2/Testing\glioma\glioma_TT_0531.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0532.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0538.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0546.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0550.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0552.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0553.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0554.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0555.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0558.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0562.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0568.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0569.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0570.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0574.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0576.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0596.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0598.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0603.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0630.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0639.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0640.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0660.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0664.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0668.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0669.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0673.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0684.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0686.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0693.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0698.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0699.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0700.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0703.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0705.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0717.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0719.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0724.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0727.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0728.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0729.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0731.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0733.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0734.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0736.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0746.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0748.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0757.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0763.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0764.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0775.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0776.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0790.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0794.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0798.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0799.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0801.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0802.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0803.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0810.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0819.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0822.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0825.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0827.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0829.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0830.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0836.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0840.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0843.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0844.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0845.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0855.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0862.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0864.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0879.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0886.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0888.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0889.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0894.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0909.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0911.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0917.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0918.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0930.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0935.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0941.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0950.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0951.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0976.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0977.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0991.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_0994.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1005.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1007.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1008.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1010.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1018.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1031.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1037.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1038.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1048.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1054.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1065.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1067.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1068.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1071.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1076.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1080.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1102.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1103.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1108.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1112.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1114.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1123.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1137.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1138.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1145.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1147.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1150.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1154.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1157.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1166.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1170.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1187.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1188.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1189.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1198.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1199.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1207.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1211.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1215.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1217.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1219.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1220.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1222.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1228.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1232.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1237.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1244.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1249.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1257.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1262.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1265.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1268.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1274.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1282.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1297.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1303.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1305.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1308.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1323.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1326.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1333.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1338.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1347.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1349.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1352.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1359.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1370.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1372.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1381.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1399.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1412.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1415.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1421.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1427.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1429.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1437.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1440.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1443.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1446.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1447.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1448.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1460.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1462.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1463.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1465.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1475.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1478.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1480.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1481.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1498.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1501.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1503.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1509.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1519.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1521.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1524.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1526.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1539.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1540.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1547.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1552.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1556.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1560.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1568.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1571.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1574.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1586.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1591.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1597.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1599.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1602.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1604.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1605.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1608.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1613.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1618.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1620.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1624.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1639.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1645.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1647.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1653.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1655.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1658.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1659.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1661.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1663.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1666.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1676.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1678.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1679.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1681.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1691.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1692.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1699.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1706.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1708.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1710.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1713.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1722.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1724.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1726.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1728.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1736.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1740.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1750.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1753.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1754.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1773.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1777.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1783.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1797.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1798.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1801.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1807.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1808.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1809.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1819.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1820.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1821.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1825.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1828.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1829.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1831.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1833.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1835.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1841.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1853.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1861.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1862.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1867.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1868.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1874.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1875.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1881.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1897.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1899.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1908.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1911.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1912.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1933.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1941.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1942.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1944.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1955.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1959.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1960.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1964.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1967.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1968.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1969.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1970.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1975.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1982.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1983.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_1987.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_2014.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_2019.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_2026.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_2027.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_2028.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_2032.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_2036.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_2046.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_2057.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_2062.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_2063.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_2072.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_2076.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_2083.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_2090.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_2092.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_2096.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_2105.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_2109.jpg,unknown,True
archive_v2/Testing\glioma\glioma_TT_2110.jpg,unknown,True
